Category ID	Category Name	Category Component
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	3726
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	2920
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	467
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	4792
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	7128
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	5743
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	2919
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	8870
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	9308
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	6364
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	2921
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	23764
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	4791
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	7127
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	1839
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	1316
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	330
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	5329
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	7538
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	3383
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	3725
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	1960
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	3553
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	597
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	23645
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	80149
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	6648
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	4929
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	3552
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	5971
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	7185
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	7832
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	1843
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	1326
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	2114
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	2152
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	6385
